Datum,Name,Kurs *,Währung,2018,2017,2016,2015,2014,2013
08.01.2019,Carr's Milling Industries PLC,,GBP,"0,05","0,04","0,04","0,04","0,03","0,03"
10.01.2019,B+S Banksysteme AG,"3,67",EUR,0,0,0,0,0,0
10.01.2019,Debenhams PLCShs,"0,05",GBP,"0,01","0,03","0,03","0,03","0,03","0,03"
15.01.2019,Schaffner AG,264,CHF,"6,5","6,5",0,"6,5","6,5","4,5"
16.01.2019,Jacobs Engineering Group Inc,"59,68",USD,"0,6","0,6",0,0,0,0
16.01.2019,Diploma PLC,"12,6",GBP,"0,26","0,23","0,2","0,18","0,17","0,16"
17.01.2019,EVN AG (Energie-Versorgung Niederösterreich AG),"13,9",EUR,"0,44","0,44","0,42","0,42","0,42","0,42"
17.01.2019,Micron Technology Inc.,"33,88",USD,0,0,0,0,0,0
17.01.2019,Intuit Inc.,"211,73",USD,"1,56","1,36","1,2",1,"0,76","0,68"
17.01.2019,Nuance Communications Inc.,"15,4",USD,0,0,0,0,0,0
17.01.2019,GAME Digital plc,,GBP,0,"0,01","0,03","0,15",0,
22.01.2019,Mitchells & Butlers PLCShs,"2,85",GBP,0,"0,08","0,08","0,05",0,0
22.01.2019,The European Investment Trust Plc,,GBP,"0,27","0,23","0,22","0,16","0,15",
22.01.2019,"Becton, Dickinson & Co. (BD)","239,19",USD,3,"2,92","2,64","2,4","2,18","1,98"
22.01.2019,Sodexo S.A.,,EUR,"2,75","2,75","2,4","2,2","1,8","1,62"
23.01.2019,D.R. Horton Inc.,"37,3",USD,"0,5","0,4","0,32","0,25","0,14","0,19"
23.01.2019,Marston's PLCShs,"0,98",GBP,"0,08","0,08","0,07","0,07","0,07","0,06"
23.01.2019,WH Smith PLC,"19,51",GBP,"0,54","0,48","0,44","0,39","0,35","0,31"
24.01.2019,Redefine International PLC,"0,29",GBP,"0,03","0,03","0,03","0,03","0,03","0,03"
24.01.2019,MOBOTIX AG,"9,15",EUR,"0,04","0,04",0,"0,5","0,3","0,75"
24.01.2019,ITE Group PLC,"0,58",GBP,"0,03","0,04","0,05","0,07","0,07","0,07"
24.01.2019,Jabil Circuit Inc.,"25,5",USD,"0,32","0,32","0,32","0,32","0,32","0,32"
24.01.2019,Costco Wholesale Corp.,"210,31",USD,"2,14","1,9","1,7","1,51","1,33","8,17"
24.01.2019,Air Products and Chemicals Inc.,"156,5",USD,"4,25","3,71","3,39","3,2","3,02","2,77"
25.01.2019,Walgreens Boots Alliance Inc,"71,89",USD,"1,64","1,53","1,46","1,37","1,29","1,14"
29.01.2019,Hormel Foods Corp.,"41,75",USD,"0,75","0,68","0,58","0,5","0,4","0,34"
29.01.2019,Visa Inc.,135,USD,"0,83","0,66","0,56","0,48","0,4","0,35"
29.01.2019,Greencore Group PLC,2,GBP,"0,06","0,05","0,07","0,06","0,05","0,05"
30.01.2019,Topps Tiles PLC,"0,65",GBP,"0,03","0,03","0,04","0,03","0,03","0,02"
30.01.2019,SinnerSchrader AG,"12,75",EUR,0,"0,04","0,2","0,12","0,12",0
30.01.2019,Siemens AG,"99,78",EUR,"3,8","3,7","3,6","3,5","3,3",3
30.01.2019,JP Morgan Indian Investment Trust PLC,,GBP,0,0,0,0,0,0
31.01.2019,Avon Rubber plc,"12,05",GBP,"0,16","0,12","0,09","0,07","0,06","0,04"
31.01.2019,Britvic Plc,"8,81",GBP,"0,28","0,27","0,25","0,23","0,21","0,18"
31.01.2019,Connect Group PLC,"0,4",GBP,"0,03","0,1","0,1","0,09","0,09","0,09"
01.02.2019,thyssenkrupp AG,"15,89",EUR,"0,15","0,15","0,15","0,15","0,11",0
01.02.2019,Accenture plc,"154,74",USD,"2,66","2,42","2,2","2,04","1,86","1,62"
01.02.2019,Euromoney Institutional Investor PLC,"12,62",GBP,"0,33","0,31","0,23","0,23","0,23","0,23"
01.02.2019,Brewin Dolphin Holdings PLC,"2,98",GBP,"0,16","0,15","0,13","0,12","0,1","0,09"
01.02.2019,VERBIO Vereinigte BioEnergie AG,"7,03",EUR,"0,2","0,2","0,15","0,1",0,0
05.02.2019,Emerson Electric Co.,"66,9",USD,"1,94","1,92","1,9","1,88","1,72","1,64"
05.02.2019,Rockwell Automation Inc.,"170,73",USD,"3,51","3,04","2,9","2,6","2,32","1,98"
05.02.2019,Medicx Fund Ltd Registered Shs,,GBP,"0,06","0,06","0,06","0,06","0,06","0,06"
05.02.2019,Siemens Healthineers AG,,EUR,"0,7",0,"0,16","0,05",,
06.02.2019,Daily Mail & General Trust PLC Registered Shs -A- Non Vtg,,GBP,"0,23","0,23","0,22","0,21","0,2","0,19"
06.02.2019,Grainger PLC,"2,4",GBP,"0,05","0,05","0,05","0,03","0,03",
06.02.2019,Victrex plc,"23,86",GBP,"0,6","0,54","0,47","0,47","0,95","0,43"
06.02.2019,Daily Mail & General Trust PLC (A) Non-Voting,"6,11",GBP,"0,23","0,23","0,22","0,21","0,2","0,19"
06.02.2019,Imperial Brands plc,"25,36",GBP,"1,88","1,71","1,55","1,41","1,28","1,16"
07.02.2019,easyJet plc,"13,02",GBP,"0,59","0,41","0,54","0,55","0,45","0,78"
07.02.2019,The Scottish Investment Trust plc,,GBP,"0,21","0,2","0,14","0,13","0,12","0,13"
07.02.2019,Enterprise Inns PLCShs,2,GBP,0,0,0,0,0,0
07.02.2019,Thomas Cook,"0,34",GBP,0,"0,01","0,01",0,0,0
07.02.2019,Compass Group plc,,GBP,"0,35","0,32","0,33","0,3","0,28","0,25"
08.02.2019,Shaftesbury PLC REITShs,"8,71",GBP,"0,17","0,16","0,15","0,14","0,13","0,13"
12.02.2019,TUI,"10,34",EUR,"0,72","0,65","0,63","0,56","0,33","0,15"
12.02.2019,Navistar International Corp.,"34,32",USD,0,0,0,0,0,0
12.02.2019,Franklin Resources Inc.,"31,15",USD,"0,92","0,8","0,72","1,13","0,48","1,39"
12.02.2019,Tonkens Agrar AG,"5,45",EUR,,,0,0,0,0
13.02.2019,STARAMBA SE,"12,5",EUR,,0,0,0,0,0
13.02.2019,Ceconomy Vz.,"4,58",EUR,0,"0,32","1,06","1,06","1,13",0
13.02.2019,Ceconomy St.,"4,81",EUR,0,"0,26",1,1,"0,9",0
13.02.2019,Stabilus S.A.,"49,46",EUR,1,"0,8","0,5",0,0,
14.02.2019,FORTEC Elektronik AG,"20,2",EUR,"0,6","0,6","0,6","0,5","0,5","0,5"
14.02.2019,Jubii Europe N.V.,"0,03",EUR,0,0,0,0,0,0
14.02.2019,Varian Medical Systems Inc.,"131,77",USD,0,0,0,0,0,0
14.02.2019,Paragon Group of Companies PLC,"4,11",GBP,"0,19","0,16","0,14","0,11","0,09","0,07"
15.02.2019,GCP Infrastructure Investments Ltd GBP,,GBP,"0,08","0,08","0,08","0,08","0,08","0,08"
15.02.2019,METRO (St.),,EUR,"0,7","0,7",1,1,"0,9",0
15.02.2019,METRO (Vz.),,EUR,"0,7","0,7","1,06","1,06","1,13",0
19.02.2019,OSRAM AG,"39,92",EUR,"1,11","1,11",1,"0,9","0,9",0
20.02.2019,Bertrandt AG,"76,85",EUR,2,"2,5","2,5","2,45","2,4","2,2"
21.02.2019,Lifespot Capital AG,,EUR,,0,0,0,0,0
21.02.2019,Infineon AG,"19,66",EUR,"0,27","0,25","0,22","0,2","0,18","0,12"
21.02.2019,SSP Group PLC Registered Shs,,GBP,"0,1","0,08","0,05","0,04",0,
21.02.2019,Deutsche Beteiligungs AG,"35,15",EUR,"1,45","1,4","1,2","0,5","0,4","0,4"
21.02.2019,Great Western Bancorp Inc,,USD,"0,9","0,74","0,56","0,36","1,76","0,72"
26.02.2019,MATERNUS-Kliniken AG,"1,63",EUR,0,0,0,0,0,0
26.02.2019,Kone OyjShs -B-,,EUR,"1,65","1,65","1,55","1,4","1,2",1
27.02.2019,The Bankers Investment Trust PLC,,GBP,"0,2","0,19","0,17","0,16","0,15","0,14"
27.02.2019,Electra Private Equity PLC,,GBP,,0,"1,54","1,16",0,0
27.02.2019,Sage PLC,"6,6",GBP,"0,17","0,15","0,14","0,13","0,13","0,29"
27.02.2019,Finsbury Growth & Income Trust PLC,,GBP,"0,15","0,14","0,13","0,12","0,11","0,11"
27.02.2019,Novozymes A-S (B),"302,5",DKK,5,"4,5",4,"3,5",3,"2,5"
27.02.2019,Deere & Co. (John Deere),"163,59",USD,"2,58","2,4","2,4","2,4","2,22","1,99"
28.02.2019,Novartis AG,,USD,"2,89","2,87","2,7","2,66","2,63","2,77"
28.02.2019,Aurubis (ex Norddeutsche Affinerie),"48,37",EUR,"1,55","1,45","1,25","1,35",1,"1,1"
28.02.2019,AmerisourceBergen Corp.,"83,3",USD,"1,52","1,46","1,36","1,16","0,94","0,84"
28.02.2019,Coherent Inc.,"133,08",USD,0,0,0,0,0,0
28.02.2019,Aberforth Smaller Companies Trust PLC,,GBP,"0,38","0,36","0,3","0,29","0,25","0,24"
01.03.2019,Apple Inc.,"174,97",USD,"2,72","2,4","2,18","1,98","1,82","1,63"
01.03.2019,Sanmina-SCI Corp,"31,86",USD,0,0,0,0,0,0
05.03.2019,Orsted,,DKK,"9,75",9,6,,,
05.03.2019,Roche AG (Genussschein),,CHF,"8,7","8,3","8,2","8,1",8,"7,8"
05.03.2019,Roche Holding AG (Inhaberaktie),"277,6",CHF,"8,7","8,3","8,2","8,1",8,"7,8"
05.03.2019,Helmerich & Payne Inc.,"54,04",USD,"2,82","2,8","2,78","2,75","2,63","1,3"
06.03.2019,Amtech Systems Inc.,"4,75",USD,0,0,0,0,0,0
06.03.2019,Novozymes A-S (B),"297,3",DKK,5,"4,5",4,"3,5",3,"2,5"
06.03.2019,PTC Inc,"89,96",USD,0,0,0,0,0,0
06.03.2019,Johnson Controls International PLC,,USD,"1,04",1,"1,16","1,04","0,88","0,76"
07.03.2019,Hologic IncShs,"46,81",USD,0,0,0,0,0,0
07.03.2019,B.R.A.I.N. Biotechnology Research and Information Network AG,,EUR,0,0,0,,,
07.03.2019,Applied Materials Inc.,"37,57",USD,"0,7","0,4","0,4","0,4","0,4","0,39"
07.03.2019,Cabot Corp.,"46,02",USD,"1,29","1,23","1,04","0,88","0,84","0,8"
07.03.2019,Walt Disney,"114,01",USD,"1,68","1,56","1,42","1,81","0,86","0,75"
07.03.2019,Wärtsilä Oyj (Abp B) (Wartsila),,EUR,"0,48","0,46","0,43","0,4","0,38","0,35"
08.03.2019,MVV Energie AG,"26,5",EUR,"0,9","0,9","0,9","0,9","0,9","0,9"
08.03.2019,"Mapfre, SAReg.Shs","2,44",EUR,"0,15","0,15","0,13","0,14","0,14","0,12"
11.03.2019,Sanmina-SCI Corp,"30,5",USD,0,0,0,0,0,0
11.03.2019,Viacom Inc. (A),"33,99",USD,"0,8","0,8","1,4","1,46","1,26","1,15"
11.03.2019,Viacom Inc. B,"29,04",USD,"0,8","0,8","1,4","1,46","1,26","1,15"
12.03.2019,QUALCOMM Inc.,"54,84",USD,"2,38","2,2","2,02","1,8","1,54","1,2"
12.03.2019,YIT OyjShs,,EUR,"0,27","0,25","0,22","0,22","0,18","0,38"
12.03.2019,TransDigm Group IncShs,"436,8",USD,0,46,0,0,25,"34,85"
12.03.2019,Dätwyler AG,"140,4",CHF,3,3,"2,2","2,2","8,96","2,8"
13.03.2019,Samsung,"43.850,00",KRW,"1.416,00",850,570,420,400,286
13.03.2019,TE Connectivity Ltd.,"83,42",USD,"1,68","1,54","1,4","1,24","1,08","0,92"
13.03.2019,Pandora A-S,"322,9",DKK,9,9,9,13,9,"6,5"
13.03.2019,Analog Devices Inc.,"108,08",USD,"1,89","1,77","1,66","1,57","1,45","1,32"
13.03.2019,All for One Group AG,52,EUR,"1,2","1,2","1,1",1,"0,7","0,5"
13.03.2019,Carlsberg A/S (B),"827,6",DKK,18,16,10,9,9,8
13.03.2019,Carlsberg A/S (A),802,DKK,18,16,10,9,9,8
14.03.2019,LS telcom AG,"6,85",EUR,0,0,"0,05","0,05","0,1","0,25"
14.03.2019,F5 Networks Inc.,"153,18",USD,0,0,0,0,0,0
14.03.2019,Stora Enso Oyj (R),,EUR,"0,5","0,41","0,37","0,33","0,3","0,3"
14.03.2019,Outotec OyjShs,,EUR,0,0,0,0,"0,1","0,2"
14.03.2019,Stora Enso Oyj (A),,EUR,"0,5","0,41","0,37","0,33","0,3","0,3"
14.03.2019,DATAGROUP SE,"35,65",EUR,"0,6","0,45","0,3","0,25","0,2","0,2"
14.03.2019,Beta Systems Software AG,,EUR,0,0,0,0,0,0
15.03.2019,DSV A-S,"567,6",DKK,"2,25",2,"1,8","1,7","1,6","1,5"
15.03.2019,Tryg A-S,,DKK,"6,6","6,4","6,2",6,"5,8","5,4"
15.03.2019,BBVA SA (Banco Bilbao Vizcaya Argentaria),"5,37",EUR,"0,1","0,09","0,08","0,08","0,08","0,2"
15.03.2019,Wereldhave N.V.,,EUR,"2,52","3,08","3,08","3,01","2,87","3,3"
15.03.2019,Burgenland Holding AG,75,EUR,"3,15","3,45","3,15","2,75","2,7","2,7"
16.03.2019,Hypothekarbank Lenzburg AG,"4.600,00",CHF,110,150,110,110,110,110
18.03.2019,Danske Bank A/S (Den Danske Bank),"134,2",DKK,"8,5",10,9,8,"5,5",2
18.03.2019,Cassiopea,39,EUR,0,0,0,0,,
19.03.2019,CPH Chemie & Papier Holding AG,"88,5",CHF,"1,3","0,65","0,65","0,6","0,65","0,65"
19.03.2019,Bellevue AG,"21,6",CHF,"1,1","1,1",1,1,1,1
19.03.2019,DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION Shares,"0,62",EUR,,"0,18","0,21","0,2","0,18","0,16"
19.03.2019,Cargotec Oyj,,EUR,"1,1","1,05","0,95","0,8","0,41","0,42"
19.03.2019,Carl Zeiss Meditec AG,"79,15",EUR,"0,55","0,55","0,42","0,38","0,4","0,45"
19.03.2019,ISRA VISION AG,"35,35",EUR,"0,15","0,59","0,1","0,08","0,08","0,07"
19.03.2019,William Demant Holding A-S,,DKK,0,0,0,0,0,0
20.03.2019,Agilent Technologies Inc.,"80,92",USD,"0,6","0,53","0,46","0,4","0,53","0,46"
20.03.2019,Starbucks Corp.,"71,63",USD,"1,32","1,05","0,85","0,68","0,55","0,45"
